"id","tool_name","bleu_score","cosine_similarity","lsa_score"
165,"MarianMT","0.2099585014500748","0.41751811996747934","0.30842711714071264"
122,"Fine-tuned MarianMT","0.1807090894044787","0.40293844162016296","0.27026899447475866"
146,"Google Translate","0.2636013044550382","0.4717270000126095","0.37014312567330127"
123,"Google Translate","0.1315820716846958","0.3575209732087353","0.22379585855287923"
206,"Marefa","0.07822252501133443","0.20549536405568547","0.13775916937243418"
124,"Marefa","0.11392548136520235","0.27331488650944613","0.17989272346084567"
188,"Marefa","0.14604461790124698","0.2947962920743252","0.20240519061577356"
147,"Marefa","0.19984086716274616","0.5702861146882928","0.4172992810487145"
125,"MarianMT","0.3612885714563707","0.5928170470070172","0.44067009853820643"
166,"Fine-tuned MarianMT","0.3264257394368516","0.5755293220823824","0.43711759057572386"
126,"Fine-tuned MarianMT","0.3599632889968815","0.5871173463810759","0.43711889536147175"
148,"MarianMT","0.16738070619551648","0.3307923217716478","0.2090586463116007"
127,"Google Translate","0.27872082591730873","0.4770895045989424","0.339035773761803"
179,"Google Translate","0.09471937423661836","0.30432372739904284","0.2094203060875369"
128,"Marefa","0.2487160553181965","0.4840792163140769","0.3265965800600525"
149,"Fine-tuned MarianMT","0.05643448729893624","0.3235060225557246","0.17906504794134348"
129,"MarianMT","0.2513542751661031","0.4278680915359466","0.304533440151977"
167,"Google Translate","0.4158149003045524","0.5172693980959262","0.4084652122148862"
130,"Fine-tuned MarianMT","0.23266632769050705","0.4148314167441788","0.2945073193884028"
150,"Google Translate","0.1562151730091193","0.414677864111747","0.2546581581177318"
131,"Google Translate","0.3313832959945474","0.45877761892045354","0.35236228521711205"
132,"Marefa","0.30553790267835573","0.4124609005777245","0.3055188949462178"
200,"Google Translate","0.32753069256576905","0.4959582545790375","0.3682490154217755"
151,"Marefa","0.12779467690282148","0.3501817741050568","0.22009986936053183"
133,"MarianMT","0.31902870653894627","0.4609057252847884","0.3489356422724838"
168,"Marefa","0.3777654425942763","0.5041571664223906","0.3733957706197177"
134,"Fine-tuned MarianMT","0.3534918897069077","0.4647226001604064","0.3642911311602853"
152,"MarianMT","0.054517717463183804","0.393668917143173","0.2485320148003053"
135,"Google Translate","0.34223409200936644","0.5056729983484035","0.3815656796320998"
180,"Marefa","0.0412532700716841","0.18114411074575004","0.11938527080757944"
136,"Marefa","0.26520100420941795","0.46955592660564144","0.3359732270455984"
153,"Fine-tuned MarianMT","0.05826091860507053","0.3780076644452371","0.24335383210400735"
169,"MarianMT","0.24247653133935637","0.4587810980158237","0.32542452818230494"
154,"Google Translate","0.07173308175528016","0.4260583517322367","0.28205505139430836"
195,"Google Translate","0.18010551309736733","0.40382464966306986","0.26726909263484544"
189,"MarianMT","0.1364547570634354","0.44006885359101555","0.28540970000702603"
155,"Marefa","0.04383352923339252","0.3276162088514153","0.1969027450508633"
170,"Fine-tuned MarianMT","0.18638704431346254","0.27313118000272946","0.18591844891988027"
156,"MarianMT","0.1350784391097457","0.3471311649974419","0.22869392225870375"
181,"MarianMT","0.22035444687983977","0.4621087318659819","0.31667542141083693"
157,"Fine-tuned MarianMT","0.13116701605388686","0.30855641310121046","0.21640311752079933"
171,"Google Translate","0.28868157894563234","0.4916145574327208","0.3622350525813795"
158,"Google Translate","0.15792003988793724","0.30458995748740647","0.21801973303625102"
